order_id,book_id,customer_name,qty,order_date,request_date,ship_date
O001,BK001,김도윤,2,2025-08-01,2025-08-05,2025-08-04
O002,BK005,이수민,1,2025-08-03,2025-08-07,2025-08-10
O003,BK010,박지훈,3,2025-08-05,2025-08-08,2025-08-08
O004,BK014,최유진,1,2025-08-06,2025-08-09,2025-08-15
O005,BK003,정하늘,2,2025-08-07,2025-08-11,2025-08-11
O006,BK009,한소연,4,2025-08-08,2025-08-12,2025-08-16
O007,BK017,오세훈,1,2025-08-09,2025-08-13,2025-08-12
O008,BK002,강민재,2,2025-08-10,2025-08-14,2025-08-20
O009,BK020,윤아름,1,2025-08-11,2025-08-15,2025-08-15
O010,BK006,서준호,5,2025-08-12,2025-08-16,2025-08-19
