order_id,book_id,customer_name,qty,order_date,request_date,ship_date
O001,BK001,김도윤,2,2025-08-01,2025-08-05,2025-08-04
O002,BK005,이수민,1,2025-08-03,2025-08-07,2025-08-10
O003,BK010,박지훈,3,2025-08-05,2025-08-08,2025-08-08
O004,BK014,최유진,1,2025-08-06,2025-08-09,2025-08-15
O005,BK003,정하늘,2,2025-08-07,2025-08-11,2025-08-11
O006,BK009,한소연,4,2025-08-08,2025-08-12,2025-08-16
O007,BK017,오세훈,1,2025-08-09,2025-08-13,2025-08-12
O008,BK002,강민재,2,2025-08-10,2025-08-14,2025-08-20
O009,BK020,윤아름,1,2025-08-11,2025-08-15,2025-08-15
O010,BK006,서준호,5,2025-08-12,2025-08-16,2025-08-19
O011,BK006,서준호,2,2025-08-14,2025-08-18,2025-08-19
O012,BK009,한소연,1,2025-08-15,2025-08-19,2025-08-20
O013,BK001,김도윤,3,2025-08-16,2025-08-20,2025-08-21
O014,BK010,박지훈,2,2025-08-17,2025-08-21,2025-08-27
O015,BK003,정하늘,1,2025-08-18,2025-08-22,2025-08-23
O016,BK006,이수민,4,2025-08-19,2025-08-23,2025-08-24
O017,BK005,김도윤,1,2025-08-20,2025-08-24,2025-08-23
O018,BK013,이수민,2,2025-08-20,2025-08-24,2025-08-25
O019,BK020,박지훈,1,2025-08-21,2025-08-25,2025-08-30
O020,BK002,최유진,2,2025-08-21,2025-08-25,2025-08-26
O021,BK017,정하늘,1,2025-08-22,2025-08-26,2025-08-26
O022,BK016,한소연,3,2025-08-22,2025-08-26,2025-08-31
O024,BK006,강민재,2,2025-08-23,2025-08-27,2025-08-28
O026,BK013,서준호,1,2025-08-24,2025-08-28,2025-08-31
